 15
 39 0.4320901437146291
 13653.00000000000 (177.3000030517578,-72.88999938964844) 5.000000000000000E-02 2.500000000000000E-02
 21 4.080471274668343
 2.500000000000000E-02 (179.1000061035156,-34.27999877929687) 5.000000000000000E-02 2.500000000000000E-02
 3.570154000000000E-02 (182.8000030517578,-32.63000106811523) 5.000000000000000E-02 2.500000000000000E-02
 5.000000000000000E-02 (199.6000061035156,-30.01000022888184) 5.000000000000000E-02 2.500000000000000E-02
 7.137759000000000E-02 (236.0000000000000,-27.70999908447266) 5.000000000000000E-02 2.500000000000000E-02
 9.990010000000001E-02 (288.8999938964844,-27.05999946594238) 5.000000000000000E-02 2.500000000000000E-02
 0.1427959000000000 (360.5000000000000,-28.51000022888184) 5.000000000000000E-02 2.500000000000000E-02
 0.1998801000000000 (429.2999877929687,-31.78000068664551) 5.000000000000000E-02 2.500000000000000E-02
 0.2857143000000000 (480.7999877929687,-36.52999877929687) 5.000000000000000E-02 2.500000000000000E-02
 0.4000000000000000 (493.2000122070313,-40.97999954223633) 5.000000000000000E-02 2.500000000000000E-02
 0.5714286000000000 (474.5000000000000,-44.36000061035156) 5.000000000000000E-02 2.500000000000000E-02
 0.8000000000000000 (449.7000122070313,-45.77000045776367) 5.000000000000000E-02 2.500000000000000E-02
 1.142857000000000 (437.7999877929687,-46.00000000000000) 5.000000000000000E-02 2.500000000000000E-02
 1.600000000000000 (445.7000122070313,-46.38000106811523) 5.000000000000000E-02 2.500000000000000E-02
 2.285714000000000 (463.0000000000000,-48.25999832153320) 5.000000000000000E-02 2.500000000000000E-02
 3.200000000000000 (466.1000061035156,-51.70999908447266) 5.000000000000000E-02 2.500000000000000E-02
 4.570384000000000 (436.2000122070313,-56.29000091552734) 5.000000000000000E-02 2.500000000000000E-02
 6.402049000000000 (379.2000122070313,-60.20999908447266) 5.000000000000000E-02 2.500000000000000E-02
 9.140768000000000 (307.8999938964844,-62.79000091552734) 5.000000000000000E-02 2.500000000000000E-02
 12.80000000000000 (247.6000061035156,-63.20999908447266) 5.000000000000000E-02 2.500000000000000E-02
 18.28588000000000 (200.1000061035156,-61.59999847412109) 5.000000000000000E-02 2.500000000000000E-02
 25.60033000000000 (171.8999938964844,-58.72000122070313) 5.000000000000000E-02 2.500000000000000E-02
 39 0.5676704653910785
 2.500000000000000E-02 (573.7999877929687,-18.55999946594238) 5.000000000000000E-02 2.500000000000000E-02
 3.570154000000000E-02 (675.7000122070313,-22.17000007629395) 5.000000000000000E-02 2.500000000000000E-02
 5.000000000000000E-02 (756.0999755859375,-24.65999984741211) 5.000000000000000E-02 2.500000000000000E-02
 7.137759000000000E-02 (830.2999877929687,-25.97999954223633) 5.000000000000000E-02 2.500000000000000E-02
 9.990010000000001E-02 (901.5000000000000,-25.85000038146973) 5.000000000000000E-02 2.500000000000000E-02
 0.1427959000000000 (1003.000000000000,-24.23999977111816) 5.000000000000000E-02 2.500000000000000E-02
 0.1998801000000000 (1160.000000000000,-21.79000091552734) 5.000000000000000E-02 2.500000000000000E-02
 0.2857143000000000 (1434.000000000000,-19.18000030517578) 5.000000000000000E-02 2.500000000000000E-02
 0.4000000000000000 (1833.000000000000,-17.54000091552734) 5.000000000000000E-02 2.500000000000000E-02
 0.5714286000000000 (2436.000000000000,-17.20999908447266) 5.000000000000000E-02 2.500000000000000E-02
 0.8000000000000000 (3186.000000000000,-18.42000007629395) 5.000000000000000E-02 2.500000000000000E-02
 1.142857000000000 (4121.000000000000,-21.25000000000000) 5.000000000000000E-02 2.500000000000000E-02
 1.600000000000000 (5000.000000000000,-25.02000045776367) 5.000000000000000E-02 2.500000000000000E-02
 2.285714000000000 (5722.000000000000,-29.30999946594238) 5.000000000000000E-02 2.500000000000000E-02
 3.200000000000000 (6124.000000000000,-32.61999893188477) 5.000000000000000E-02 2.500000000000000E-02
 4.570384000000000 (6395.000000000000,-34.72999954223633) 5.000000000000000E-02 2.500000000000000E-02
 6.402049000000000 (6708.000000000000,-35.72000122070313) 5.000000000000000E-02 2.500000000000000E-02
 9.140768000000000 (7168.000000000000,-36.61000061035156) 5.000000000000000E-02 2.500000000000000E-02
 12.80000000000000 (7618.000000000000,-37.72999954223633) 5.000000000000000E-02 2.500000000000000E-02
 18.28588000000000 (8003.000000000000,-38.90000152587891) 5.000000000000000E-02 2.500000000000000E-02
 25.60033000000000 (8367.000000000000,-39.61999893188477) 5.000000000000000E-02 2.500000000000000E-02
 40.00000000000000 (9481.000000000000,-40.18999862670898) 5.000000000000000E-02 2.500000000000000E-02
 53.33333000000000 (10078.00000000000,-40.54000091552734) 5.000000000000000E-02 2.500000000000000E-02
 80.00000000000000 (10997.00000000000,-42.27000045776367) 5.000000000000000E-02 2.500000000000000E-02
