  5120.0      894.89     -114.2  1191.6      640.59     -105.5 -123.0 0.89 0.89
  6826.7      625.43      -78.2  1049.9      310.30      -61.7  -94.7 0.76 0.76
  10240.      544.11      -79.4  1047.2      204.26      -58.3 -100.6 0.87 0.87
  13653.      530.14      166.0  1235.0      118.96      193.8  138.2 0.78 0.78
RXY SI units (ohms)
   20
  20.000      1709.1       52.2  1833.1      1589.5       54.3   50.2 0.67 0.67
  26.667      2314.3       53.2  2436.1      2195.7       54.7   51.7 0.76 0.76
  40.000      1912.7       52.3  2052.0      1778.4       54.4   50.3 0.68 0.68
  53.333      2205.5       51.8  2332.6      2081.9       53.4   50.2 0.74 0.74
  80.000      2578.7       54.4  2743.3      2419.3       56.2   52.6 0.85 0.85
  106.67      2352.6       53.4  2437.4      2269.3       54.4   52.3 0.86 0.86
  160.00      2463.0       56.7  2601.4      2328.4       58.3   55.1 0.97 0.97
  213.33      2142.8       56.6  2242.3      2045.5       58.0   55.3 0.94 0.94
  320.00      2047.5       59.1  2132.5      1964.1       60.3   58.0 0.96 0.96
  426.67      1795.0       60.5  1864.2      1727.1       61.6   59.4 0.97 0.97
  640.00      1670.9       60.6  1726.8      1616.0       61.6   59.7 0.94 0.94
  853.33      1606.2       62.3  1690.9      1523.8       63.8   60.8 0.94 0.94
  1280.0      1333.8       63.2  1513.9      1165.2       67.0   59.5 0.96 0.96
  1706.7      1030.2       65.6  1287.4      801.61       72.4   58.9 0.96 0.96
  2560.0      1234.9       60.7  1647.3      881.83       69.5   51.9 0.79 0.79
  3413.3      743.52       62.5  949.54      562.65       69.9   55.1 0.83 0.83
  5120.0      1142.5       62.0  1543.4      801.87       71.2   52.8 0.88 0.88
  6826.7      539.02       48.0  1345.6      95.071       78.2   17.9 0.46 0.46
  10240.      1407.3       67.2  2982.1      416.90       91.7   42.7 0.83 0.83
  13653.      1768.2      166.0  3825.6      494.96      191.2  140.8 0.82 0.82
RYX SI units (ohms)
   20
  20.000      229.79     -122.8  242.42      217.50     -121.2 -124.3 0.82 0.82
  26.667      278.65     -125.8  286.84      270.59     -125.0 -126.7 0.91 0.91
  40.000      273.97     -130.3  283.61      264.49     -129.3 -131.3 0.89 0.89
  53.333      286.24     -131.0  295.20      277.42     -130.1 -131.8 0.91 0.91
  80.000      315.16     -133.1  324.30      306.16     -132.3 -133.9 0.96 0.96
  106.67      303.58     -130.9  312.97      294.35     -130.0 -131.8 0.94 0.94
  160.00      310.34     -129.4  323.35      297.61     -128.2 -130.6 0.97 0.97
  213.33      286.72     -127.0  298.17      275.50     -125.9 -128.1 0.96 0.96
  320.00      270.52     -122.8  281.93      259.34     -121.6 -124.0 0.98 0.98
  426.67      252.96     -120.7  260.21      245.81     -119.9 -121.6 0.99 0.99
  640.00      225.26     -118.2  234.35      216.36     -117.0 -119.3 0.97 0.97
  853.33      197.76     -116.1  206.33      189.38     -114.9 -117.3 0.95 0.95
  1280.0      167.26     -115.9  186.97      148.64     -112.6 -119.1 0.97 0.97
  1706.7      128.40     -114.3  145.35      112.50     -110.6 -118.0 0.99 0.99
  2560.0      124.71     -110.0  162.62      91.816     -101.9 -118.1 0.82 0.82
  3413.3      95.076     -110.6  120.68      72.519     -103.4 -117.8 0.83 0.83
  5120.0      98.949     -114.0  212.35      28.327      -89.1 -139.0 0.47 0.47
  6826.7      81.146      -72.0  184.30      19.718      -45.1  -98.9 0.52 0.52
  10240.      71.118      -94.1  293.24     0.66521E-01  -48.3 -140.0 0.48 0.48
