# BND RUN WINDOW NP PROCESS
# B   1e2   8192 12 robust_ss
# C     1    256 10 robust_ss
# D     1     64 16 robust_ss bad
>STATION   :bor016a1Dbad
>AZIMUTH   =    -21.0000
>LATITUDE  =     -5.9733
>LONGITUDE =    -37.8888
>ELEVATION =       000.0

ZXX SI units (ohms)
38
    1.2800e+01   -9.5002e-03   -1.6381e-02    9.4683e-04 1
    1.8286e+01   -8.5949e-03   -1.2099e-02    7.4204e-04 1
    2.5600e+01   -8.0166e-03   -9.3167e-03    6.1455e-04 1
    3.6571e+01   -7.4693e-03   -7.3601e-03    5.2431e-04 1
    5.1200e+01   -6.8852e-03   -6.1603e-03    4.6194e-04 1
    7.3143e+01   -6.1525e-03   -5.2901e-03    4.0570e-04 1
    1.0240e+02   -5.3906e-03   -4.6642e-03    3.5642e-04 1
    1.4629e+02   -4.5581e-03   -4.0940e-03    3.0634e-04 1
    2.0480e+02   -3.7870e-03   -3.5724e-03    2.6030e-04 1
    2.9257e+02   -3.0533e-03   -2.9774e-03    2.1323e-04 1
    4.0960e+02   -2.5158e-03   -2.3890e-03    1.7347e-04 1
ZYY SI units (ohms)
38
    1.1200e-03   -2.8386e-01    6.6456e-02    1.4577e-02 1
    1.5600e-03   -2.4052e-01    5.6310e-02    1.2351e-02 1
    2.2300e-03   -2.1740e-01    4.1909e-02    1.1070e-02 1
    3.1200e-03   -2.2532e-01    4.4007e-02    1.1479e-02 1
    4.4600e-03   -2.6075e-01    1.5834e-02    1.3062e-02 1
    6.2500e-03   -2.6704e-01   -2.7835e-03    1.3352e-02 1
    8.9300e-03   -3.0553e-01   -1.1418e-01    1.6308e-02 1
    1.2500e-02   -2.5824e-01   -9.6510e-02    1.3784e-02 1
    1.7860e-02   -2.3505e-01   -2.0398e-01    1.5561e-02 1
    2.5000e-02   -1.9867e-01   -1.7241e-01    1.3153e-02 1
    3.5710e-02   -1.0738e-01   -1.7275e-01    1.0170e-02 1
    5.0000e-02   -5.0400e-02   -1.5063e-01    7.9421e-03 1
    7.1410e-02   -4.2173e-02   -1.2604e-01    6.6454e-03 1
    9.9970e-02   -4.3078e-03   -1.0757e-01    5.3828e-03 1
    1.4281e-01    1.5268e-02   -9.6007e-02    4.8607e-03 1
    1.9994e-01    4.2726e-02   -7.1289e-02    4.1556e-03 1
